Sensor 1
Channel	Distance	Amplitude
7	4.21		242
6	3.7		71.9
5	3.87		86.6
4	3.72		148
3	4.13		219
2	4.24		251
1	0.426		71
1	4.24		230
0	0.309		81.8
0	4.08		137
Sensor 1
Channel	Distance	Amplitude
7	4.21		242
6	3.7		71.9
5	3.87		86.7
4	3.72		148
3	4.13		219
2	4.24		251
1	0.444		71.7
1	4.24		230
0	0.299		82.6
0	4.08		138
Sensor 1
Channel	Distance	Amplitude
7	4.21		242
6	3.7		72
5	3.87		86.7
4	3.72		148
3	4.13		219
2	4.24		251
1	0.434		71
1	4.24		229
0	0.31		81.7
0	4.08		138
Sensor 1
Channel	Distance	Amplitude
7	4.21		242
6	3.7		72.1
5	3.87		86.6
4	3.72		148
3	4.13		219
2	4.24		251
1	0.449		71.6
1	4.24		229
0	0.299		82
0	4.08		138
Sensor 1
Channel	Distance	Amplitude
7	0.13		518
6	0.101		518
5	0.122		547
4	-0.103		549
3	0.628		179
3	3.98		231
2	4.19		248
1	4.18		226
0	0.792		95.1
0	3.96		138
Sensor 1
Channel	Distance	Amplitude
7	0.2		497
6	0.109		546
5	0.162		565
4	0.0167		571
3	0.166		566
2	0.182		518
1	0.141		518
0	0.141		518
Sensor 1
Channel	Distance	Amplitude
7	0.163		518
6	0.0821		518
5	0.151		518
4	0.0838		518
3	0.167		580
2	0.186		518
1	0.166		518
1	4.06		356
0	0.162		517
Sensor 1
Channel	Distance	Amplitude
7	0.165		518
6	0.103		518
5	0.162		518
4	0.112		518
3	0.17		519
2	0.168		518
1	0.16		520
0	0.151		518
Sensor 1
Channel	Distance	Amplitude
7	0.141		518
6	0.129		518
5	0.173		519
4	0.135		518
3	0.168		518
2	0.159		519
1	0.162		519
0	0.15		519
Sensor 1
Channel	Distance	Amplitude
7	0.126		521
6	0.125		545
5	0.169		553
4	0.139		561
3	0.178		565
2	0.137		562
1	0.126		519
0	0.146		518
Sensor 1
Channel	Distance	Amplitude
7	0.137		548
6	0.138		550
5	0.168		553
4	0.127		558
3	0.169		562
2	0.145		552
1	0.108		542
0	0.11		509
Sensor 1
Channel	Distance	Amplitude
7	0.127		549
6	0.149		552
5	0.157		553
4	0.151		558
3	0.181		562
2	0.158		559
1	0.12		565
0	0.126		558
Sensor 1
Channel	Distance	Amplitude
7	0.12		548
6	0.13		565
5	0.174		562
4	0.171		568
3	0.192		571
2	0.161		566
1	0.121		573
0	0.142		565
Sensor 1
Channel	Distance	Amplitude
7	0.265		511
6	0.131		573
5	0.187		574
4	0.156		581
3	0.233		575
2	0.17		542
1	0.132		518
0	0.154		518
Sensor 1
Channel	Distance	Amplitude
7	4.87		168
6	4.99		199
5	4.91		161
4	4.93		166
3	1.1		33.7
3	4.92		81.2
2	0.334		38.5
2	4.98		104
1	0.184		49.5
1	4.98		107
0	0.176		68.5
0	5.02		69.4
Sensor 1
Channel	Distance	Amplitude
7	4.87		168
6	4.99		199
5	4.91		162
4	4.93		163
3	1.08		33.8
3	4.92		79.6
2	0.416		37.1
2	4.98		104
1	0.217		43.1
1	4.99		110
0	0.183		54.6
0	5.03		69
